         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   2454955234   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37600      1.11877800
   1974469617   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47443      1.16817500
   2543369437   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47772      1.42680600
   2568060234   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47370      1.58710200
   2473235850   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38129      1.23365900
   2812700054   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35790      1.09210000
   3567999990   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32826      0.89871900
   2808457127   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      22064      0.69185900
   2032837603   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45013      1.26165700
   3194275968   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34930      0.99056200
   2151188730   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30222      0.88406100
   2188259050   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34657      0.98663100
   3013363275   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32117      0.93575500
   3635247202   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26223      0.72769200
   2024743531   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      46322      1.48595800
   3711494302   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32820      0.87689300
   3089487930   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38857      1.10861100
   2747361746   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35874      1.08456300
   3462720670   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      41633      1.16730600
   1688922333   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33411      0.94473500
   2326950244   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39664      1.07220600
   3466022909   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      58673      1.76890600
   2932647564   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      25178      0.71406800
   3317492424   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42994      1.29803000
   3571937535   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31751      0.87210500
   2798831652   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36766      1.01546900
   2532927539   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28565      0.93651300
   3457152978   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35996      1.08088900
   2649171245   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30595      0.81775400
   3584475233   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34242      1.01964200
   2856190936   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29611      0.79745300
   3511343046   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34430      1.04764600
   2609825908   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45811      1.18670600
   1942046124   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39148      1.17617900
   3331106200   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26543      0.88546700
   3776681027   50.0    -1.00    -1.00     1.00     2.00   0   0  37      22156      0.73789800
   2081731582   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44582      1.28468600
   3061145741   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35508      0.98108800
   2349354289   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33363      1.15572700
   2326386776   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26947      0.75866000
   1829029821   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32233      0.92021200
   2277697010   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      41692      1.13911900
   2525787403   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37131      0.90438100
   2670147692   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39239      1.09721900
   3443333475   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      43166      1.17770800
   3557469926   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35321      1.12686400
   2948623381   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26160      0.87090300
   3134334972   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40085      1.11914500
   3037628661   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31743      1.03851600
   1895375041   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29817      0.78292400
   3340973466   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      24983      0.83391800
   1958571390   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36006      1.11970000
   2901498995   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30905      0.95319600
   2393431500   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38212      1.07104100
   3289742583   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34370      0.99616000
   3442010089   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37101      1.00622500
   1900816687   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34779      0.93412700
   2999106902   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      25104      0.71900800
   3163710623   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      52289      1.48209400
   3469641129   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42865      1.31730500
   1793746793   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38657      1.19584700
   2143338462   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31751      0.87985900
   2570688573   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31534      1.03736600
   2881820397   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40378      1.27206100
   2423188953   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36960      1.03292400
   3583905065   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32766      0.98783300
   2923485322   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      41992      1.12117500
   1743101141   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29998      0.82853300
   2795838126   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35697      1.02487700
   1822884373   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32184      1.03596400
